Host,iucn
abrothrix hirta,abrothrix longipilis
abrothrix longipilis,abrothrix longipilis
abrothrix olivaceus,abrothrix olivaceus
abrothrix sanborni,abrothrix sanborni
acerodon celebensis,acerodon celebensis
acinonyx jubatus,acinonyx jubatus
acomys cahirinus,acomys cahirinus
acomys dimidiatus,acomys dimidiatus
acomys subspinosus,acomys subspinosus
acomys wilsoni,acomys wilsoni
addax nasomaculatus,addax nasomaculatus
aeorestes cinereus,lasiurus cinereus
aeorestes egregius,lasiurus egregius
aepyceros melampus,aepyceros melampus
aethomys chrysophilus,aethomys chrysophilus
aethomys ineptus,aethomys ineptus
aethomys kaiseri,aethomys kaiseri
afronycteris nana,neoromicia nana
ailuropoda melanoleuca,ailuropoda melanoleuca
ailurus fulgens,ailurus fulgens
akodon azarae,akodon azarae
akodon cursor,akodon cursor
akodon molinae,akodon molinae
akodon montensis,akodon montensis
akodon paranaensis,akodon paranaensis
akodon serrensis,akodon serrensis
akodon simulator,akodon simulator
akodon varius,akodon varius
alcelaphus buselaphus,alcelaphus buselaphus
alces alces,alces alces
alces americanus,alces alces
alexandromys oeconomus,microtus oeconomus
allenopithecus nigroviridis,allenopithecus nigroviridis
allochrocebus lhoesti,allochrocebus lhoesti
allochrocebus preussi,allochrocebus preussi
allochrocebus solatus,allochrocebus solatus
allocricetulus eversmanni,allocricetulus eversmanni
alouatta belzebul,alouatta belzebul
alouatta caraya,alouatta caraya
alouatta guariba,alouatta guariba
alouatta macconnelli,alouatta macconnelli
alouatta palliata,alouatta palliata
alouatta pigra,alouatta pigra
alouatta sara,alouatta sara
alouatta seniculus,alouatta seniculus
alticola argentatus,alticola argentatus
ammospermophilus nelsoni,ammospermophilus nelsoni
ammotragus lervia,ammotragus lervia
anoura caudifer,anoura caudifer
anoura geoffroyi,anoura geoffroyi
anourosorex squamipes,anourosorex squamipes
anourosorex yamashinai,anourosorex yamashinai
antidorcas marsupialis,antidorcas marsupialis
antilocapra americana,antilocapra americana
antilope cervicapra,antilope cervicapra
antrozous dubiaquercus,bauerus dubiaquercus
antrozous pallidus,antrozous pallidus
aonyx cinereus,aonyx cinereus
aotus azarai,aotus azarae
aotus griseimembra,aotus griseimembra
aotus lemurinus,aotus lemurinus
aotus nancymaae,aotus nancymaae
aotus trivirgatus,aotus trivirgatus
aotus vociferans,aotus vociferans
apodemus agrarius,apodemus agrarius
apodemus argenteus,apodemus argenteus
apodemus chejuensis,apodemus agrarius
apodemus chevrieri,apodemus chevrieri
apodemus draco,apodemus draco
apodemus flavicollis,apodemus flavicollis
apodemus ilex,apodemus draco
apodemus latronum,apodemus latronum
apodemus mystacinus,apodemus mystacinus
apodemus pallipes,apodemus pallipes
apodemus peninsulae,apodemus peninsulae
apodemus ponticus,apodemus ponticus
apodemus speciosus,apodemus speciosus
apodemus sylvaticus,apodemus sylvaticus
apodemus uralensis,apodemus uralensis
arctocephalus australis,arctocephalus australis
arctocephalus forsteri,arctocephalus forsteri
arctocephalus galapagoensis,arctocephalus galapagoensis
arctocephalus gazella,arctocephalus gazella
arctocephalus tropicalis,arctocephalus tropicalis
arctonyx collaris,arctonyx collaris
artibeus cinereus,dermanura cinerea
artibeus fimbriatus,artibeus fimbriatus
artibeus glaucus,dermanura glauca
artibeus jamaicensis,artibeus jamaicensis
artibeus lituratus,artibeus lituratus
artibeus obscurus,artibeus obscurus
artibeus phaeotis,dermanura phaeotis
artibeus planirostris,artibeus planirostris
artibeus toltecus,dermanura tolteca
arvicanthis neumanni,arvicanthis neumanni
arvicanthis niloticus,arvicanthis niloticus
arvicanthis sp.,
arvicola amphibius,arvicola amphibius
arvicola scherman,arvicola scherman
aselliscus stoliczkanus,aselliscus stoliczkanus
atelerix albiventris,atelerix albiventris
ateles belzebuth,ateles belzebuth
ateles chamek,ateles chamek
ateles fusciceps,ateles fusciceps
ateles geoffroyi,ateles geoffroyi
ateles hybridus,ateles hybridus
ateles paniscus,ateles paniscus
ateles sp.,
atherurus africanus,atherurus africanus
atherurus macrourus,atherurus macrourus
atilax paludinosus,atilax paludinosus
avahi laniger,avahi laniger
axis axis,axis axis
axis porcinus,axis porcinus
babyrousa babyrussa,babyrousa babyrussa
baiomys musculus,baiomys musculus
baiomys taylori,baiomys taylori
balaena mysticetus,balaena mysticetus
balaenoptera acutorostrata,balaenoptera acutorostrata
balaenoptera borealis,balaenoptera borealis
balaenoptera physalus,balaenoptera physalus
balionycteris maculata,balionycteris maculata
bandicota bengalensis,bandicota bengalensis
bandicota indica,bandicota indica
bandicota savilei,bandicota savilei
bandicota sp.,
barbastella barbastellus,barbastella barbastellus
bassaricyon gabbii,bassaricyon gabbii
bassariscus astutus,bassariscus astutus
bathyergus suillus,bathyergus suillus
beatragus hunteri,beatragus hunteri
berylmys bowersi,berylmys bowersi
bettongia gaimardi,bettongia gaimardi
bettongia penicillata,bettongia penicillata
bibimys chacoensis,bibimys chacoensis
bison bison,bison bison
bison bonasus,bison bonasus
blarina brevicauda,blarina brevicauda
blarina carolinensis,blarina carolinensis
blarina hylophaga,blarina hylophaga
blastocerus dichotomus,blastocerus dichotomus
bolomys amoenus,necromys amoenus
bos frontalis,bos gaurus
bos gaurus,bos gaurus
bos grunniens,bos mutus
bos indicus,
bos indicus x bos taurus,
bos javanicus,bos javanicus
bos mutus,bos mutus
bos primigenius,
bos sp.,
bos taurus,
bos taurus x bison bison,
boselaphus tragocamelus,boselaphus tragocamelus
brachylagus idahoensis,brachylagus idahoensis
brachyteles arachnoides,brachyteles arachnoides
bradypus tridactylus,bradypus tridactylus
bradypus variegatus,bradypus variegatus
bubalus bubalis,bubalus arnee
bubalus carabanensis,bubalus arnee
bubalus sp.,
budorcas taxicolor,budorcas taxicolor
bunomys penitus,bunomys penitus
cabassous centralis,cabassous centralis
cacajao calvus,cacajao calvus
cacajao hosomi,cacajao hosomi
cacajao melanocephalus,cacajao melanocephalus
cacajao rubicundus,cacajao calvus
callicebus nigrifrons,callicebus nigrifrons
callicebus personatus,callicebus personatus
callicebus sp.,
callimico goeldii,callimico goeldii
callithrix geoffroyi,callithrix geoffroyi
callithrix jacchus,callithrix jacchus
callithrix penicillata,callithrix penicillata
callithrix sp.,
callorhinus ursinus,callorhinus ursinus
callosciurus erythraeus,callosciurus erythraeus
callosciurus finlaysonii,callosciurus finlaysonii
callosciurus notatus,callosciurus notatus
callosciurus prevostii,callosciurus prevostii
callospermophilus lateralis,callospermophilus lateralis
calomys callidus,calomys callidus
calomys callosus,calomys callosus
calomys fecundus,calomys fecundus
calomys laucha,calomys laucha
calomys musculinus,calomys musculinus
calomys sp.,
calomys tener,calomys tener
caluromys derbianus,caluromys derbianus
caluromys philander,caluromys philander
camelus bactrianus,camelus ferus
camelus dromedarius,camelus ferus
canis adustus,canis adustus
canis aureus,canis aureus
canis latrans,canis latrans
canis lupus,canis lupus
canis mesomelas,canis mesomelas
canis simensis,canis simensis
canis sp.,
capra aegagrus,capra aegagrus
capra caucasica,capra caucasica
capra falconeri,capra falconeri
capra hircus,capra aegagrus
capra ibex,capra ibex
capra nubiana,capra nubiana
capra pyrenaica,capra pyrenaica
capra sibirica,capra sibirica
capra sp.,capra aegagrus
capreolus capreolus,capreolus capreolus
capreolus pygargus,capreolus pygargus
capricornis crispus,capricornis crispus
capricornis milneedwardsii,capricornis sumatraensis
capricornis sumatraensis,capricornis sumatraensis
caracal caracal,caracal caracal
cardioderma cor,cardioderma cor
carollia brevicauda,carollia brevicauda
carollia perspicillata,carollia perspicillata
carollia sowelli,carollia sowelli
carollia subrufa,carollia subrufa
casinycteris argynnis,casinycteris argynnis
castor canadensis,castor canadensis
castor fiber,castor fiber
cavia aperea,cavia aperea
cavia cutleri,
cavia porcellus,cavia aperea
cebuella pygmaea,cebuella pygmaea
cebus albifrons,cebus albifrons
cebus capucinus,cebus capucinus
cebus imitator,cebus imitator
cebus olivaceus,cebus olivaceus
cebus sp.,
cephalopachus bancanus,cephalopachus bancanus
cephalophorus rufilatus,cephalophus rufilatus
cephalophus callipygus,cephalophus callipygus
cephalophus dorsalis,cephalophus dorsalis
cephalophus leucogaster,cephalophus leucogaster
cephalophus niger,cephalophus niger
cephalophus nigrifrons,cephalophus nigrifrons
cephalophus rufilatus,cephalophus rufilatus
cephalophus silvicultor,cephalophus silvicultor
cephalophus weynsi,cephalophus weynsi
cephalophus zebra,cephalophus zebra
ceratotherium simum,ceratotherium simum
cercocebus agilis,cercocebus agilis
cercocebus atys,cercocebus atys
cercocebus chrysogaster,cercocebus chrysogaster
cercocebus galeritus,cercocebus galeritus
cercocebus torquatus,cercocebus torquatus
cercopithecus albogularis,cercopithecus mitis
cercopithecus ascanius,cercopithecus ascanius
cercopithecus campbelli,cercopithecus campbelli
cercopithecus cephus,cercopithecus cephus
cercopithecus denti,cercopithecus denti
cercopithecus diana,cercopithecus diana
cercopithecus doggetti,cercopithecus mitis
cercopithecus dryas,cercopithecus dryas
cercopithecus erythrogaster,cercopithecus erythrogaster
cercopithecus erythrotis,cercopithecus erythrotis
cercopithecus hamlyni,cercopithecus hamlyni
cercopithecus kandti,cercopithecus mitis
cercopithecus lomamiensis,cercopithecus lomamiensis
cercopithecus mitis,cercopithecus mitis
cercopithecus mona,cercopithecus mona
cercopithecus neglectus,cercopithecus neglectus
cercopithecus nictitans,cercopithecus nictitans
cercopithecus petaurista,cercopithecus petaurista
cercopithecus pogonias,cercopithecus pogonias
cercopithecus roloway,cercopithecus roloway
cercopithecus sclateri,cercopithecus sclateri
cercopithecus wolfi,cercopithecus wolfi
cerdocyon thous,cerdocyon thous
cervidae sp.,
cervus albirostris,cervus albirostris
cervus canadensis,cervus canadensis
cervus elaphus,cervus elaphus
cervus nippon,cervus nippon
chaerephon leucogaster,mops leucogaster
chaerephon plicatus,chaerephon plicatus
chaerephon pumilus,chaerephon pumilus
chaerephon pusillus,mops pusillus
chaetodipus baileyi,chaetodipus baileyi
chaetodipus hispidus,chaetodipus hispidus
chaetodipus penicillatus,chaetodipus penicillatus
chaetodipus spinatus,chaetodipus spinatus
chaetophractus vellerosus,chaetophractus vellerosus
chalinolobus gouldii,chalinolobus gouldii
chalinolobus morio,chalinolobus morio
chalinolobus tuberculatus,chalinolobus tuberculatus
chinchilla lanigera,chinchilla lanigera
chionomys roberti,chionomys roberti
chironectes minimus,chironectes minimus
chiropotes sp.,
chlorocebus aethiops,chlorocebus aethiops
chlorocebus cynosuros,chlorocebus cynosuros
chlorocebus djamdjamensis,chlorocebus djamdjamensis
chlorocebus pygerythrus,chlorocebus pygerythrus
chlorocebus sabaeus,chlorocebus sabaeus
chlorocebus tantalus,chlorocebus tantalus
chodsigoa caovansunga,chodsigoa caovansunga
chodsigoa hypsibia,chodsigoa hypsibia
chodsigoa smithii,chodsigoa smithii
choloepus didactylus,choloepus didactylus
choloepus hoffmanni,choloepus hoffmanni
chrotogale owstoni,chrotogale owstoni
chrotopterus auritus,chrotopterus auritus
chrysocyon brachyurus,chrysocyon brachyurus
civettictis civetta,civettictis civetta
clethrionomys gapperi,myodes gapperi
coendou melanurus,coendou melanurus
coendou mexicanus,coendou mexicanus
coendou prehensilis,coendou prehensilis
coendou rothschildi,coendou quichua
coendou spinosus,coendou spinosus
coleura afra,coleura afra
coleura kibomalandy,coleura kibomalandy
colobus angolensis,colobus angolensis
colobus guereza,colobus guereza
colobus polykomos,colobus polykomos
conepatus leuconotus,conepatus leuconotus
connochaetes gnou,connochaetes gnou
connochaetes taurinus,connochaetes taurinus
corynorhinus rafinesquii,corynorhinus rafinesquii
corynorhinus townsendii,corynorhinus townsendii
cricetomys ansorgei,cricetomys ansorgei
cricetomys emini,cricetomys emini
cricetomys gambianus,cricetomys gambianus
cricetulus barabensis,cricetulus barabensis
cricetulus griseus,cricetulus barabensis
cricetulus longicaudatus,cricetulus longicaudatus
cricetulus migratorius,cricetulus migratorius
cricetulus sokolovi,cricetulus sokolovi
cricetus cricetus,cricetus cricetus
crocidura attenuata,crocidura attenuata
